sizes,times,memories,n_clusters,max_depth
100,0.0011042999879767497,0.033139546712239586,100.0,100
500,0.005749133337909977,0.17687066396077475,500.0,100
1000,0.01235449999027575,0.3685353597005208,1000.0,100
2000,0.02862753332980598,0.7624384562174479,2000.0,100
5000,0.09428499997981514,1.972399393717448,5000.0,100
10000,0.19780070000949004,4.0651092529296875,10000.0,100
20000,0.47854429999521625,8.375005086263021,20000.0,100
50000,1.4290048666686441,21.843639373779297,50000.0,100
